69,348,22,18,22,40, , , , , ,1969-12-14T22:18:00.000000Z,1969-12-14T22:40:00.000000Z
69,348,23,44,23,58, , , , , ,1969-12-14T23:44:00.000000Z,1969-12-14T23:58:00.000000Z
69,349,13,22,13,49, , , , , ,1969-12-15T13:22:00.000000Z,1969-12-15T13:49:00.000000Z
69,350,00,27,00,50, , , , ,C,1969-12-16T00:27:00.000000Z,1969-12-16T00:50:00.000000Z
69,352,03,14,  ,  , , , , , ,1969-12-18T03:14:00.000000Z,1969-12-18T03:14:00.000000Z
69,355,00,31,01,05, , , , , ,1969-12-21T00:31:00.000000Z,1969-12-21T01:05:00.000000Z
69,357,04,12,04,33, , , , , ,1969-12-23T04:12:00.000000Z,1969-12-23T04:33:00.000000Z
69,357,22,21,22,40, , , , ,C,1969-12-23T22:21:00.000000Z,1969-12-23T22:40:00.000000Z
69,360,19,14,19,25, , , , , ,1969-12-26T19:14:00.000000Z,1969-12-26T19:25:00.000000Z
69,360,22,27,22,48, , , , ,C,1969-12-26T22:27:00.000000Z,1969-12-26T22:48:00.000000Z
69,361,09,04,09,30, , , , ,A,1969-12-27T09:04:00.000000Z,1969-12-27T09:30:00.000000Z
69,361,13,40,14,08, , , , ,A,1969-12-27T13:40:00.000000Z,1969-12-27T14:08:00.000000Z
69,361,21,32,22,08, , , , ,C,1969-12-27T21:32:00.000000Z,1969-12-27T22:08:00.000000Z
69,362,02,41,03,03, , , , ,A,1969-12-28T02:41:00.000000Z,1969-12-28T03:03:00.000000Z
69,362,07,05,07,35, , , , , ,1969-12-28T07:05:00.000000Z,1969-12-28T07:35:00.000000Z
69,362,07,45,08,15, , , , , ,1969-12-28T07:45:00.000000Z,1969-12-28T08:15:00.000000Z
69,362,08,50,09,25, , , , , ,1969-12-28T08:50:00.000000Z,1969-12-28T09:25:00.000000Z
69,362,11,27,11,42, , , , ,A,1969-12-28T11:27:00.000000Z,1969-12-28T11:42:00.000000Z
69,363,02,42,03,00, , , , ,M,1969-12-29T02:42:00.000000Z,1969-12-29T03:00:00.000000Z
69,363,22,35,22,52, , , , ,M,1969-12-29T22:35:00.000000Z,1969-12-29T22:52:00.000000Z
70,001,01,40,02,10, , , , , ,1970-01-01T01:40:00.000000Z,1970-01-01T02:10:00.000000Z
70,002,02,20,02,30, , , , ,C,1970-01-02T02:20:00.000000Z,1970-01-02T02:30:00.000000Z
70,002,21,18,21,40, , , , , ,1970-01-02T21:18:00.000000Z,1970-01-02T21:40:00.000000Z
70,003,09,08,09,15, , , , , ,1970-01-03T09:08:00.000000Z,1970-01-03T09:15:00.000000Z
70,003,11,25,11,52, , , , , ,1970-01-03T11:25:00.000000Z,1970-01-03T11:52:00.000000Z
70,003,12,42,13,20, , , , , ,1970-01-03T12:42:00.000000Z,1970-01-03T13:20:00.000000Z
70,003,16,24,17,15, , , , ,C,1970-01-03T16:24:00.000000Z,1970-01-03T17:15:00.000000Z
70,004,11,20,11,30, , , , , ,1970-01-04T11:20:00.000000Z,1970-01-04T11:30:00.000000Z
70,004,11,54,12,03, , , , , ,1970-01-04T11:54:00.000000Z,1970-01-04T12:03:00.000000Z
70,004,16,03,16,20, , , , ,A,1970-01-04T16:03:00.000000Z,1970-01-04T16:20:00.000000Z
70,004,21,05,21,25, , , , , ,1970-01-04T21:05:00.000000Z,1970-01-04T21:25:00.000000Z
70,006,03,53,04,03, , , , , ,1970-01-06T03:53:00.000000Z,1970-01-06T04:03:00.000000Z
70,006,13,28,14,20, , , , ,A,1970-01-06T13:28:00.000000Z,1970-01-06T14:20:00.000000Z
70,006,21,58,22,15, , , , , ,1970-01-06T21:58:00.000000Z,1970-01-06T22:15:00.000000Z
70,007,02,04,02,25, , , , , ,1970-01-07T02:04:00.000000Z,1970-01-07T02:25:00.000000Z
70,007,09,10,10,00, , , , , ,1970-01-07T09:10:00.000000Z,1970-01-07T10:00:00.000000Z
70,007,11,08,11,22, , , , , ,1970-01-07T11:08:00.000000Z,1970-01-07T11:22:00.000000Z
70,008,00,49,01,05, , , , , ,1970-01-08T00:49:00.000000Z,1970-01-08T01:05:00.000000Z
70,008,04,40,05,10, , , , ,A,1970-01-08T04:40:00.000000Z,1970-01-08T05:10:00.000000Z
70,008,12,49,13,20, , , , ,A,1970-01-08T12:49:00.000000Z,1970-01-08T13:20:00.000000Z
70,008,16,40,17,04, , , , ,A,1970-01-08T16:40:00.000000Z,1970-01-08T17:04:00.000000Z
70,009,01,08,01,32, , , , , ,1970-01-09T01:08:00.000000Z,1970-01-09T01:32:00.000000Z
70,009,02,03,02,52, , , , ,A,1970-01-09T02:03:00.000000Z,1970-01-09T02:52:00.000000Z
70,009,06,49,07,13, , , , ,A,1970-01-09T06:49:00.000000Z,1970-01-09T07:13:00.000000Z
70,009,07,32,07,52, , , , ,A,1970-01-09T07:32:00.000000Z,1970-01-09T07:52:00.000000Z
