# frame_count, ap_station, ground_station, nc, time, lpx, lpy, lpz
52,12,3,2,1973-10-01 04:00:00.041000,526,491,493
52,12,3,3,1973-10-01 04:00:00.192000,526,491,493
52,12,3,4,1973-10-01 04:00:00.343000,526,491,493
53,12,3,1,1973-10-01 04:00:00.494000,526,490,494
53,12,3,2,1973-10-01 04:00:00.645000,526,490,494
53,12,3,3,1973-10-01 04:00:00.796000,526,490,494
53,12,3,4,1973-10-01 04:00:00.947000,526,490,493
54,12,3,1,1973-10-01 04:00:01.097000,526,490,493
54,12,3,2,1973-10-01 04:00:01.248000,526,490,493
54,12,3,3,1973-10-01 04:00:01.399000,526,490,493
54,12,3,4,1973-10-01 04:00:01.550000,526,490,493
55,12,3,1,1973-10-01 04:00:01.702000,526,490,492
55,12,3,2,1973-10-01 04:00:01.853000,525,490,493
55,12,3,3,1973-10-01 04:00:02.004000,525,491,493
55,12,3,4,1973-10-01 04:00:02.155000,525,491,493
56,12,3,1,1973-10-01 04:00:02.305000,526,491,493
56,12,3,2,1973-10-01 04:00:02.456000,526,491,493
56,12,3,3,1973-10-01 04:00:02.607000,526,491,493
56,12,3,4,1973-10-01 04:00:02.758000,526,490,494
57,12,3,1,1973-10-01 04:00:02.909000,526,490,494
57,12,3,2,1973-10-01 04:00:03.060000,526,490,493
57,12,3,3,1973-10-01 04:00:03.211000,526,490,493
57,12,3,4,1973-10-01 04:00:03.362000,526,490,493
58,12,3,1,1973-10-01 04:00:03.513000,526,490,493
58,12,3,2,1973-10-01 04:00:03.664000,526,490,493
58,12,3,3,1973-10-01 04:00:03.815000,525,490,493
58,12,3,4,1973-10-01 04:00:03.966000,525,490,492
59,12,3,1,1973-10-01 04:00:04.116000,525,490,493
59,12,3,2,1973-10-01 04:00:04.267000,526,490,493
59,12,3,3,1973-10-01 04:00:04.418000,526,491,493
59,12,3,4,1973-10-01 04:00:04.569000,526,491,493
60,12,3,1,1973-10-01 04:00:04.720000,526,491,493
60,12,3,2,1973-10-01 04:00:04.871000,526,490,493
60,12,3,3,1973-10-01 04:00:05.022000,526,490,493
60,12,3,4,1973-10-01 04:00:05.173000,526,490,493
61,12,3,1,1973-10-01 04:00:05.324000,526,490,493
61,12,3,2,1973-10-01 04:00:05.475000,526,490,493
61,12,3,3,1973-10-01 04:00:05.626000,526,490,493
61,12,3,4,1973-10-01 04:00:05.777000,526,490,493
62,12,3,1,1973-10-01 04:00:05.928000,526,490,493
62,12,3,2,1973-10-01 04:00:06.079000,526,490,493
62,12,3,3,1973-10-01 04:00:06.230000,526,490,493
62,12,3,4,1973-10-01 04:00:06.381000,526,490,493
63,12,3,1,1973-10-01 04:00:06.531000,526,491,493
63,12,3,2,1973-10-01 04:00:06.682000,526,491,493
63,12,3,3,1973-10-01 04:00:06.833000,526,491,493
63,12,3,4,1973-10-01 04:00:06.984000,526,490,493
64,12,3,1,1973-10-01 04:00:07.135000,526,490,493
64,12,3,2,1973-10-01 04:00:07.286000,526,490,493
64,12,3,3,1973-10-01 04:00:07.437000,526,490,493
64,12,3,4,1973-10-01 04:00:07.588000,526,490,493
65,12,3,1,1973-10-01 04:00:07.739000,526,490,493
65,12,3,2,1973-10-01 04:00:07.890000,526,490,494
65,12,3,3,1973-10-01 04:00:08.041000,526,490,494
65,12,3,4,1973-10-01 04:00:08.192000,526,490,493
66,12,3,1,1973-10-01 04:00:08.343000,526,490,493
66,12,3,2,1973-10-01 04:00:08.494000,526,490,493
66,12,3,3,1973-10-01 04:00:08.645000,526,490,493
66,12,3,4,1973-10-01 04:00:08.796000,526,490,493
67,12,3,1,1973-10-01 04:00:08.946000,526,491,493
67,12,3,2,1973-10-01 04:00:09.097000,526,490,493
67,12,3,3,1973-10-01 04:00:09.248000,526,490,493
67,12,3,4,1973-10-01 04:00:09.399000,526,490,493
68,12,3,1,1973-10-01 04:00:09.550000,526,490,493
68,12,3,2,1973-10-01 04:00:09.701000,526,490,493
68,12,3,3,1973-10-01 04:00:09.852000,526,490,493
68,12,3,4,1973-10-01 04:00:10.003000,526,490,493
69,12,3,1,1973-10-01 04:00:10.154000,526,490,493
69,12,3,2,1973-10-01 04:00:10.305000,526,490,493
69,12,3,3,1973-10-01 04:00:10.456000,526,490,493
69,12,3,4,1973-10-01 04:00:10.607000,526,490,493
70,12,3,1,1973-10-01 04:00:10.758000,526,490,493
70,12,3,2,1973-10-01 04:00:10.909000,526,491,493
70,12,3,3,1973-10-01 04:00:11.060000,526,491,493
70,12,3,4,1973-10-01 04:00:11.211000,526,491,493
71,12,3,1,1973-10-01 04:00:11.362000,526,490,493
71,12,3,2,1973-10-01 04:00:11.513000,526,490,493
71,12,3,3,1973-10-01 04:00:11.664000,526,490,493
71,12,3,4,1973-10-01 04:00:11.815000,526,490,493
72,12,3,1,1973-10-01 04:00:11.965000,527,490,493
72,12,3,2,1973-10-01 04:00:12.116000,526,490,493
72,12,3,3,1973-10-01 04:00:12.267000,526,490,493
72,12,3,4,1973-10-01 04:00:12.418000,526,491,493
73,12,3,1,1973-10-01 04:00:12.569000,526,490,493
73,12,3,2,1973-10-01 04:00:12.720000,526,490,493
73,12,3,3,1973-10-01 04:00:12.871000,526,490,493
73,12,3,4,1973-10-01 04:00:13.022000,526,490,493
74,12,3,1,1973-10-01 04:00:13.173000,526,490,493
74,12,3,2,1973-10-01 04:00:13.324000,526,490,493
74,12,3,3,1973-10-01 04:00:13.475000,526,490,493
74,12,3,4,1973-10-01 04:00:13.626000,526,490,493
75,12,3,1,1973-10-01 04:00:13.777000,526,490,493
75,12,3,2,1973-10-01 04:00:13.928000,526,490,493
75,12,3,3,1973-10-01 04:00:14.079000,526,490,493
75,12,3,4,1973-10-01 04:00:14.230000,526,490,493
76,12,3,1,1973-10-01 04:00:14.380000,526,490,493
76,12,3,2,1973-10-01 04:00:14.531000,527,490,493
76,12,3,3,1973-10-01 04:00:14.682000,526,490,493
76,12,3,4,1973-10-01 04:00:14.833000,526,490,493
77,12,3,1,1973-10-01 04:00:14.984000,526,491,493
77,12,3,2,1973-10-01 04:00:15.135000,525,491,493
77,12,3,3,1973-10-01 04:00:15.286000,525,491,493
77,12,3,4,1973-10-01 04:00:15.437000,525,490,493
78,12,3,1,1973-10-01 04:00:15.588000,526,490,493
78,12,3,2,1973-10-01 04:00:15.739000,526,490,493
78,12,3,3,1973-10-01 04:00:15.890000,526,490,493
78,12,3,4,1973-10-01 04:00:16.041000,526,490,493
79,12,3,1,1973-10-01 04:00:16.192000,526,490,493
79,12,3,2,1973-10-01 04:00:16.343000,526,490,493
79,12,3,3,1973-10-01 04:00:16.494000,526,490,493
79,12,3,4,1973-10-01 04:00:16.645000,526,491,493
80,12,3,1,1973-10-01 04:00:16.796000,526,491,493
80,12,3,2,1973-10-01 04:00:16.947000,526,491,493
80,12,3,3,1973-10-01 04:00:17.098000,526,491,493
80,12,3,4,1973-10-01 04:00:17.249000,526,490,493
81,12,3,1,1973-10-01 04:00:17.399000,525,490,493
81,12,3,2,1973-10-01 04:00:17.550000,525,490,493
81,12,3,3,1973-10-01 04:00:17.701000,525,490,493
81,12,3,4,1973-10-01 04:00:17.852000,525,490,493
82,12,3,1,1973-10-01 04:00:18.003000,526,490,493
82,12,3,2,1973-10-01 04:00:18.154000,526,490,493
82,12,3,3,1973-10-01 04:00:18.305000,526,490,493
82,12,3,4,1973-10-01 04:00:18.456000,526,490,493
83,12,3,1,1973-10-01 04:00:18.607000,526,491,493
83,12,3,2,1973-10-01 04:00:18.758000,526,491,493
83,12,3,3,1973-10-01 04:00:18.909000,526,490,493
83,12,3,4,1973-10-01 04:00:19.060000,526,490,493
84,12,3,1,1973-10-01 04:00:19.211000,527,490,493
84,12,3,2,1973-10-01 04:00:19.362000,526,490,493
84,12,3,3,1973-10-01 04:00:19.513000,526,490,493
84,12,3,4,1973-10-01 04:00:19.664000,526,490,493
