# frame_count, ap_station, ground_station, nc, time, lpx, lpy, lpz
47,12,13,1,1974-05-29 20:45:49.569000,527,486,490
47,12,13,2,1974-05-29 20:45:49.720000,527,486,490
47,12,13,3,1974-05-29 20:45:49.871000,527,486,490
47,12,13,4,1974-05-29 20:45:50.022000,527,486,490
48,12,13,1,1974-05-29 20:45:50.176000,527,486,490
48,12,13,2,1974-05-29 20:45:50.327000,527,486,490
48,12,13,3,1974-05-29 20:45:50.478000,527,486,490
48,12,13,4,1974-05-29 20:45:50.629000,527,486,490
49,12,13,1,1974-05-29 20:45:50.777000,527,486,490
49,12,13,2,1974-05-29 20:45:50.928000,527,486,490
49,12,13,3,1974-05-29 20:45:51.079000,526,486,490
49,12,13,4,1974-05-29 20:45:51.230000,526,486,490
50,12,13,1,1974-05-29 20:45:51.379000,526,486,490
50,12,13,2,1974-05-29 20:45:51.530000,526,486,490
50,12,13,3,1974-05-29 20:45:51.681000,526,486,490
50,12,13,4,1974-05-29 20:45:51.832000,526,486,490
51,12,13,1,1974-05-29 20:45:51.985000,526,486,490
51,12,13,2,1974-05-29 20:45:52.136000,526,486,490
51,12,13,3,1974-05-29 20:45:52.287000,527,486,490
51,12,13,4,1974-05-29 20:45:52.438000,527,486,490
52,12,13,1,1974-05-29 20:45:52.591000,527,486,490
52,12,13,2,1974-05-29 20:45:52.742000,527,486,490
52,12,13,3,1974-05-29 20:45:52.893000,527,486,490
52,12,13,4,1974-05-29 20:45:53.044000,527,486,490
53,12,13,1,1974-05-29 20:45:53.192000,527,486,490
53,12,13,2,1974-05-29 20:45:53.343000,527,486,490
53,12,13,3,1974-05-29 20:45:53.494000,527,486,490
53,12,13,4,1974-05-29 20:45:53.645000,527,486,490
54,12,13,1,1974-05-29 20:45:53.798000,527,486,490
54,12,13,2,1974-05-29 20:45:53.949000,527,486,490
54,12,13,3,1974-05-29 20:45:54.100000,527,486,490
54,12,13,4,1974-05-29 20:45:54.251000,527,486,490
55,12,13,1,1974-05-29 20:45:54.399000,527,486,490
55,12,13,2,1974-05-29 20:45:54.550000,527,486,490
55,12,13,3,1974-05-29 20:45:54.701000,527,486,490
55,12,13,4,1974-05-29 20:45:54.852000,527,486,490
56,12,13,1,1974-05-29 20:45:55.005000,527,487,490
56,12,13,2,1974-05-29 20:45:55.156000,527,487,490
56,12,13,3,1974-05-29 20:45:55.307000,527,486,490
56,12,13,4,1974-05-29 20:45:55.458000,527,486,490
57,12,13,1,1974-05-29 20:45:55.609000,527,486,490
57,12,13,2,1974-05-29 20:45:55.760000,527,486,490
