# frame_count, ap_station, ground_station, nc, time, lpx, lpy, lpz
15,12,2,2,1975-05-07 06:40:00.084000,531,492,493
15,12,2,3,1975-05-07 06:40:00.235000,531,492,492
15,12,2,4,1975-05-07 06:40:00.386000,531,492,492
16,12,2,1,1975-05-07 06:40:00.536000,531,492,492
16,12,2,2,1975-05-07 06:40:00.687000,531,492,492
16,12,2,3,1975-05-07 06:40:00.838000,531,492,492
16,12,2,4,1975-05-07 06:40:00.989000,530,492,492
17,12,2,1,1975-05-07 06:40:01.140000,530,493,492
17,12,2,2,1975-05-07 06:40:01.291000,530,493,492
17,12,2,3,1975-05-07 06:40:01.442000,530,493,492
17,12,2,4,1975-05-07 06:40:01.593000,530,492,492
18,12,2,1,1975-05-07 06:40:01.744000,530,492,492
18,12,2,2,1975-05-07 06:40:01.895000,530,492,492
18,12,2,3,1975-05-07 06:40:02.046000,531,492,493
18,12,2,4,1975-05-07 06:40:02.197000,531,493,493
19,12,2,1,1975-05-07 06:40:02.347000,531,492,493
19,12,2,2,1975-05-07 06:40:02.498000,531,492,493
19,12,2,3,1975-05-07 06:40:02.649000,530,492,492
19,12,2,4,1975-05-07 06:40:02.800000,530,492,492
20,12,2,1,1975-05-07 06:40:02.951000,530,492,492
20,12,2,2,1975-05-07 06:40:03.102000,531,492,492
20,12,2,3,1975-05-07 06:40:03.253000,530,492,492
20,12,2,4,1975-05-07 06:40:03.404000,530,493,492
21,12,2,1,1975-05-07 06:40:03.555000,530,493,492
21,12,2,2,1975-05-07 06:40:03.706000,530,493,492
21,12,2,3,1975-05-07 06:40:03.857000,530,493,492
21,12,2,4,1975-05-07 06:40:04.008000,530,492,492
22,12,2,1,1975-05-07 06:40:04.159000,530,492,492
22,12,2,2,1975-05-07 06:40:04.310000,530,492,492
22,12,2,3,1975-05-07 06:40:04.461000,531,492,492
22,12,2,4,1975-05-07 06:40:04.612000,531,492,492
23,12,2,1,1975-05-07 06:40:04.763000,531,492,492
23,12,2,2,1975-05-07 06:40:04.914000,530,492,492
23,12,2,3,1975-05-07 06:40:05.065000,530,492,493
23,12,2,4,1975-05-07 06:40:05.216000,531,492,493
24,12,2,1,1975-05-07 06:40:05.366000,531,492,493
24,12,2,2,1975-05-07 06:40:05.517000,530,492,493
24,12,2,3,1975-05-07 06:40:05.668000,530,492,492
24,12,2,4,1975-05-07 06:40:05.819000,530,492,492
25,12,2,1,1975-05-07 06:40:05.970000,530,492,492
25,12,2,2,1975-05-07 06:40:06.121000,530,492,492
25,12,2,3,1975-05-07 06:40:06.272000,530,492,492
25,12,2,4,1975-05-07 06:40:06.423000,530,492,492
26,12,2,1,1975-05-07 06:40:06.574000,530,493,492
26,12,2,2,1975-05-07 06:40:06.725000,531,493,493
26,12,2,3,1975-05-07 06:40:06.876000,531,493,493
26,12,2,4,1975-05-07 06:40:07.027000,531,492,493
27,12,2,1,1975-05-07 06:40:07.177000,530,492,493
27,12,2,2,1975-05-07 06:40:07.328000,531,493,493
27,12,2,3,1975-05-07 06:40:07.479000,531,493,493
27,12,2,4,1975-05-07 06:40:07.630000,530,493,492
28,12,2,1,1975-05-07 06:40:07.781000,530,492,492
28,12,2,2,1975-05-07 06:40:07.932000,530,492,492
28,12,2,3,1975-05-07 06:40:08.083000,530,492,492
28,12,2,4,1975-05-07 06:40:08.234000,530,492,492
29,12,2,1,1975-05-07 06:40:08.385000,530,492,492
29,12,2,2,1975-05-07 06:40:08.536000,530,492,492
29,12,2,3,1975-05-07 06:40:08.687000,530,492,492
29,12,2,4,1975-05-07 06:40:08.838000,530,492,492
30,12,2,1,1975-05-07 06:40:08.989000,530,492,493
30,12,2,2,1975-05-07 06:40:09.140000,531,493,493
30,12,2,3,1975-05-07 06:40:09.291000,531,493,493
30,12,2,4,1975-05-07 06:40:09.442000,531,493,492
31,12,2,1,1975-05-07 06:40:09.592000,530,493,492
31,12,2,2,1975-05-07 06:40:09.743000,530,493,492
31,12,2,3,1975-05-07 06:40:09.894000,530,493,492
31,12,2,4,1975-05-07 06:40:10.045000,530,492,492
32,12,2,1,1975-05-07 06:40:10.196000,531,492,492
32,12,2,2,1975-05-07 06:40:10.347000,530,492,492
32,12,2,3,1975-05-07 06:40:10.498000,530,492,492
32,12,2,4,1975-05-07 06:40:10.649000,530,492,492
33,12,2,1,1975-05-07 06:40:10.800000,530,492,492
33,12,2,2,1975-05-07 06:40:10.951000,530,492,492
33,12,2,3,1975-05-07 06:40:11.102000,530,492,493
33,12,2,4,1975-05-07 06:40:11.253000,530,492,493
34,12,2,1,1975-05-07 06:40:11.404000,530,492,493
34,12,2,2,1975-05-07 06:40:11.555000,530,492,492
34,12,2,3,1975-05-07 06:40:11.706000,531,492,492
34,12,2,4,1975-05-07 06:40:11.857000,530,493,492
35,12,2,1,1975-05-07 06:40:12.007000,530,493,492
35,12,2,2,1975-05-07 06:40:12.158000,530,492,492
35,12,2,3,1975-05-07 06:40:12.309000,530,492,492
35,12,2,4,1975-05-07 06:40:12.460000,530,492,492
36,12,2,1,1975-05-07 06:40:12.611000,530,492,492
36,12,2,2,1975-05-07 06:40:12.762000,530,492,492
36,12,2,3,1975-05-07 06:40:12.913000,530,492,492
36,12,2,4,1975-05-07 06:40:13.064000,531,492,492
37,12,2,1,1975-05-07 06:40:13.215000,531,492,492
37,12,2,2,1975-05-07 06:40:13.366000,531,492,492
37,12,2,3,1975-05-07 06:40:13.517000,531,493,493
37,12,2,4,1975-05-07 06:40:13.668000,530,492,493
38,12,2,1,1975-05-07 06:40:13.819000,530,492,493
38,12,2,2,1975-05-07 06:40:13.970000,530,493,492
38,12,2,3,1975-05-07 06:40:14.121000,530,493,492
38,12,2,4,1975-05-07 06:40:14.272000,530,493,492
39,12,2,1,1975-05-07 06:40:14.422000,530,492,492
39,12,2,2,1975-05-07 06:40:14.573000,530,492,492
39,12,2,3,1975-05-07 06:40:14.724000,530,492,492
39,12,2,4,1975-05-07 06:40:14.875000,530,492,492
40,12,2,1,1975-05-07 06:40:15.026000,530,492,492
40,12,2,2,1975-05-07 06:40:15.177000,530,492,492
40,12,2,3,1975-05-07 06:40:15.328000,530,492,492
40,12,2,4,1975-05-07 06:40:15.479000,530,492,492
41,12,2,1,1975-05-07 06:40:15.630000,530,492,492
41,12,2,2,1975-05-07 06:40:15.781000,530,492,492
41,12,2,3,1975-05-07 06:40:15.932000,530,493,493
41,12,2,4,1975-05-07 06:40:16.083000,530,493,493
42,12,2,1,1975-05-07 06:40:16.234000,530,493,492
42,12,2,2,1975-05-07 06:40:16.385000,530,493,492
42,12,2,3,1975-05-07 06:40:16.536000,531,493,492
42,12,2,4,1975-05-07 06:40:16.687000,530,492,492
43,12,2,1,1975-05-07 06:40:16.837000,530,492,492
43,12,2,2,1975-05-07 06:40:16.988000,530,492,492
43,12,2,3,1975-05-07 06:40:17.139000,530,492,492
43,12,2,4,1975-05-07 06:40:17.290000,530,492,492
44,12,2,1,1975-05-07 06:40:17.441000,530,493,492
44,12,2,2,1975-05-07 06:40:17.592000,530,493,492
44,12,2,3,1975-05-07 06:40:17.743000,531,492,492
44,12,2,4,1975-05-07 06:40:17.894000,531,492,492
45,12,2,1,1975-05-07 06:40:18.045000,531,492,492
45,12,2,2,1975-05-07 06:40:18.196000,531,492,492
45,12,2,3,1975-05-07 06:40:18.347000,530,492,492
