# frame_count, ap_station, ground_station, nc, time, lpx, lpy, lpz
12,12,4,3,1971-07-11 13:27:00.111000,522,524,519
12,12,4,4,1971-07-11 13:27:00.262000,522,524,519
13,12,4,1,1971-07-11 13:27:00.413000,522,524,519
13,12,4,2,1971-07-11 13:27:00.564000,522,524,519
13,12,4,3,1971-07-11 13:27:00.715000,522,524,519
13,12,4,4,1971-07-11 13:27:00.866000,522,524,519
14,12,4,1,1971-07-11 13:27:01.017000,523,525,519
14,12,4,2,1971-07-11 13:27:01.168000,523,525,519
14,12,4,3,1971-07-11 13:27:01.319000,523,525,519
14,12,4,4,1971-07-11 13:27:01.470000,522,525,519
15,12,4,1,1971-07-11 13:27:01.621000,522,525,518
15,12,4,2,1971-07-11 13:27:01.772000,522,525,518
15,12,4,3,1971-07-11 13:27:01.923000,522,525,518
15,12,4,4,1971-07-11 13:27:02.074000,522,525,518
16,12,4,1,1971-07-11 13:27:02.224000,522,525,518
16,12,4,2,1971-07-11 13:27:02.375000,522,525,519
16,12,4,3,1971-07-11 13:27:02.526000,522,525,519
16,12,4,4,1971-07-11 13:27:02.677000,522,524,519
17,12,4,1,1971-07-11 13:27:02.828000,522,524,519
17,12,4,2,1971-07-11 13:27:02.979000,522,525,519
17,12,4,3,1971-07-11 13:27:03.130000,522,525,519
17,12,4,4,1971-07-11 13:27:03.281000,522,525,519
18,12,4,1,1971-07-11 13:27:03.432000,522,525,519
18,12,4,2,1971-07-11 13:27:03.583000,522,524,519
18,12,4,3,1971-07-11 13:27:03.734000,522,524,519
18,12,4,4,1971-07-11 13:27:03.885000,523,524,519
19,12,4,1,1971-07-11 13:27:04.035000,523,525,518
19,12,4,2,1971-07-11 13:27:04.186000,523,525,518
19,12,4,3,1971-07-11 13:27:04.337000,523,526,518
19,12,4,4,1971-07-11 13:27:04.488000,523,526,519
20,12,4,1,1971-07-11 13:27:04.639000,523,527,519
20,12,4,2,1971-07-11 13:27:04.790000,523,527,519
20,12,4,3,1971-07-11 13:27:04.941000,523,527,519
20,12,4,4,1971-07-11 13:27:05.092000,523,527,519
21,12,4,1,1971-07-11 13:27:05.243000,523,526,519
21,12,4,2,1971-07-11 13:27:05.394000,522,525,519
21,12,4,3,1971-07-11 13:27:05.545000,522,525,519
21,12,4,4,1971-07-11 13:27:05.696000,522,525,519
22,12,4,1,1971-07-11 13:27:05.847000,522,524,519
22,12,4,2,1971-07-11 13:27:05.998000,522,524,519
22,12,4,3,1971-07-11 13:27:06.149000,523,525,519
22,12,4,4,1971-07-11 13:27:06.300000,523,525,519
23,12,4,1,1971-07-11 13:27:06.451000,523,526,519
23,12,4,2,1971-07-11 13:27:06.602000,522,527,519
23,12,4,3,1971-07-11 13:27:06.753000,522,527,519
23,12,4,4,1971-07-11 13:27:06.904000,522,527,519
24,12,4,1,1971-07-11 13:27:07.055000,522,527,519
24,12,4,2,1971-07-11 13:27:07.206000,522,527,519
24,12,4,3,1971-07-11 13:27:07.357000,522,527,519
24,12,4,4,1971-07-11 13:27:07.508000,523,526,519
25,12,4,1,1971-07-11 13:27:07.658000,523,526,519
25,12,4,2,1971-07-11 13:27:07.809000,523,528,519
25,12,4,3,1971-07-11 13:27:07.960000,522,528,520
25,12,4,4,1971-07-11 13:27:08.111000,522,529,520
26,12,4,1,1971-07-11 13:27:08.262000,521,529,520
26,12,4,2,1971-07-11 13:27:08.413000,521,527,520
26,12,4,3,1971-07-11 13:27:08.564000,520,526,519
26,12,4,4,1971-07-11 13:27:08.715000,519,525,519
27,12,4,1,1971-07-11 13:27:08.865000,519,524,519
27,12,4,2,1971-07-11 13:27:09.016000,519,524,519
27,12,4,3,1971-07-11 13:27:09.167000,520,524,519
27,12,4,4,1971-07-11 13:27:09.318000,521,525,519
28,12,4,1,1971-07-11 13:27:09.469000,521,525,519
28,12,4,2,1971-07-11 13:27:09.620000,521,526,519
28,12,4,3,1971-07-11 13:27:09.771000,522,526,519
28,12,4,4,1971-07-11 13:27:09.922000,522,527,519
29,12,4,1,1971-07-11 13:27:10.073000,521,527,519
29,12,4,2,1971-07-11 13:27:10.224000,521,527,519
29,12,4,3,1971-07-11 13:27:10.375000,521,527,519
29,12,4,4,1971-07-11 13:27:10.526000,521,527,519
30,12,4,1,1971-07-11 13:27:10.677000,520,526,519
30,12,4,2,1971-07-11 13:27:10.828000,520,525,519
30,12,4,3,1971-07-11 13:27:10.979000,520,525,519
30,12,4,4,1971-07-11 13:27:11.130000,520,525,519
31,12,4,1,1971-07-11 13:27:11.281000,520,525,519
31,12,4,2,1971-07-11 13:27:11.432000,520,525,519
31,12,4,3,1971-07-11 13:27:11.583000,521,525,519
31,12,4,4,1971-07-11 13:27:11.734000,521,525,519
32,12,4,1,1971-07-11 13:27:11.884000,521,526,519
32,12,4,2,1971-07-11 13:27:12.035000,521,526,519
32,12,4,3,1971-07-11 13:27:12.186000,521,526,519
32,12,4,4,1971-07-11 13:27:12.337000,521,526,519
33,12,4,1,1971-07-11 13:27:12.488000,521,526,519
